"eventid","iyear","imonth","iday","provstate","city","latitude","longitude","summary","attacktype1_txt","targtype1_txt","nkill","date"
201602080003,2016,2,8,"Baghdad","Baghdad",33.306909,44.517157,"02/08/2016: An explosive device detonated near a market in Amin area, Baghdad city, Baghdad governorate, Iraq. At least two people were killed and six people were injured in the blast. No group claimed responsibility for the incident.","Bombing/Explosion","Private Citizens & Property",2,"2/8/2016"
201602080004,2016,2,8,"Baghdad","Hawr Rajab",33.192404,44.409731,"02/08/2016: Assailants threw a hand grenade at a Sahwa Council checkpoint in Hur Rajab, Iraq. At least one Sahwa Council member was killed and five members were injured in the blast. No group claimed responsibility for the incident.","Bombing/Explosion","Terrorists/Non-State Militia",1,"2/8/2016"
201602080011,2016,2,8,"Baghdad","Baghdad",33.305184,44.488968,"02/08/2016: An explosive device detonated in Nuayriyah area, Baghdad city, Baghdad governorate, Iraq. At least one person was killed and seven people were injured in the blast. No group claimed responsibility for the incident.","Bombing/Explosion","Business",1,"2/8/2016"
201602080013,2016,2,8,"Nineveh","Mosul",36.356648,43.164,"02/08/2016: Assailants kidnapped 35 people in Mosul, Nineveh, Iraq. The outcome of the kidnapping is unknown. No group claimed responsibility for the incident; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL).","Hostage Taking (Kidnapping)","Private Citizens & Property",NA,"2/8/2016"
201602080014,2016,2,8,"Diyala","Asyud",34.054147,44.931598,"02/08/2016: An explosive device detonated targeting an Iraqi Volunteer Forces patrol in Asyud area, Diyala, Iraq. Two fighters were injured in the blast. No group claimed responsibility for the incident.","Bombing/Explosion","Terrorists/Non-State Militia",0,"2/8/2016"
201602090003,2016,2,9,"Baghdad","Baghdad",33.25267,44.393057,"02/09/2016: An explosive device detonated near shops in Al Mahdiyah area, Baghdad city, Baghdad governorate, Iraq. At least one person was killed and five people were injured in the blast. No group claimed responsibility for the incident.","Bombing/Explosion","Business",1,"2/9/2016"
201602090004,2016,2,9,"Baghdad","Baghdad",33.325198,44.422604,"02/09/2016: An explosive device detonated in Hayy Al Bakriyah, Baghdad city, Baghdad governorate, Iraq. At least one person was killed and six people were injured in the blast. No group claimed responsibility for the incident.","Bombing/Explosion","Private Citizens & Property",1,"2/9/2016"
201602090005,2016,2,9,"Saladin","Taji",33.53728,44.262183,"02/09/2016: An explosive device detonated in Taji, Saladin, Iraq. At least two people were killed and eight people were injured in the blast. No group claimed responsibility for the incident.","Bombing/Explosion","Private Citizens & Property",2,"2/9/2016"
201602090032,2016,2,9,"Al Anbar","Fallujah",33.344358,43.781277,"02/09/2016: Assailants attacked Iraqi Volunteer Forces in Fallujah, Al Anbar, Iraq. At least 11 fighters were killed in the assault. No group claimed responsibility for the incident; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL).","Unknown","Terrorists/Non-State Militia",11,"2/9/2016"
201602100002,2016,2,10,"Baghdad","Baghdad",33.338193,44.472442,"02/10/2016: An explosive device planted under a vehicle carrying Iraqi Volunteer Forces detonated in Baladiat area, Baghdad city, Baghdad governorate, Iraq. At least one volunteer was killed and two volunteers were injured in the blast. No group claimed responsibility for the incident.","Bombing/Explosion","Terrorists/Non-State Militia",1,"2/10/2016"
